,hotel_name,nationality,rating,review_text,sentiment_score,sentiment
46,Hotel Saint Sauveur by WP Hotels,United Kingdom,9.2,noise lift night bright flash red smoke detector heavy quilt hot swim pool sauna basement great place relax good breakfast wide choice helpful staff,0.9393,Positive
47,B&B Hof Beygaert,Spain,10.0,lovely excel lent owner tidy clean,0.8591,Positive
48,Novotel Gent Centrum,Belgium,9.0,good location nice staff clean good price also pet friendly also plus,0.926,Positive
49,B&B Place Jourdan,Netherlands,9.0,bit away station enough space clean friendly service,0.7096,Positive
50,Villa Pura Vida,Belgium,10.0,villa lovely super clean comfortable bed ever slept love bathroom shower bad clean stylish design look breakfast great,0.969,Positive
51,AppartHotel Belle Vue,United Kingdom,9.2,la pretty place entry car park narrow building good restaurant good level parking,0.8402,Positive
52,Le Studio de Christine,Mexico,9.0,bathroom bedroom heart city fantastic location,0.5574,Positive
53,Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,Belgium,8.0,door system work first fix quickly lovely place clean great electric lock system meant free arrive later even,0.9313,Positive
54,Vintage Chalet in Sougne-Remouchamps near Forest,Netherlands,10.0,clean warm chalet friendly willing help provide everything burning wood keep place warm although enough electric give place atmosphere,0.886,Positive
55,Minimalistic In Premium Location,United Kingdom,9.6,brilliant location sparkle clean amaze minimal comfy bed fabulous,0.9451,Positive
56,Marivaux Hotel,Germany,8.0,breakfast provide lot selection dark without large conference close station tidy functionally free coffee water available,0.5106,Positive
57,Hotel Astoria Gent,Belgium,10.0,super nice breakfast keep thank,0.8481,Positive
58,Guest house Heysel Laeken Atomium,Netherlands,8.3,hot weather fan would welcome addition,0.6486,Positive
59,la heid d'ehan,Belgium,8.0,attention experience deal,0.0,Neutral
60,Hotel Saint Sauveur by WP Hotels,United Kingdom,7.1,real bar restaurant close clean friendly,0.7096,Positive
61,B&B Hof Beygaert,United Kingdom,10.0,fantastic tastefully furnish great breakfast perfect location,0.9081,Positive
62,Novotel Gent Centrum,Portugal,9.0,location cannot well heart city great friendly staff,0.7569,Positive
63,B&B Place Jourdan,Ireland,10.0,nothing family home like feel,-0.2755,Neutral
64,Villa Pura Vida,Denmark,10.0,everything amaze clean feel like bali cant wait come back visit lovely bed breakfast host kind lovely make best breakfast coffee,0.9747,Positive
65,AppartHotel Belle Vue,Belgium,7.1,strong thin big nice shower,0.7269,Positive
66,Le Studio de Christine,United Kingdom,9.6,host extremely accommodate apartment quiet comfortable good bathroom large kitchen area lovely town much offer property location fantastic,0.9274,Positive
67,Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,Belgium,10.0,everything location city center still noise accessibility host perfect stay alone couple time definitely come back tip tell purpose stay adjust give,0.6597,Positive
68,Vintage Chalet in Sougne-Remouchamps near Forest,Netherlands,9.0,sleep couch living little bit noisy location view wood interior beautiful place would highly recommend,0.7408,Positive
69,Minimalistic In Premium Location,Romania,10.0,nothing say well modern good taste decorate spacious clean good communication owner good price quality thank,0.9019,Positive
70,Marivaux Hotel,Hungary,9.0,none room location breakfast everything accord prior,0.0,Neutral
71,Hotel Astoria Gent,Italy,10.0,vicinity train station attention staff,0.0,Neutral
72,Guest house Heysel Laeken Atomium,Kenya,7.9,nothing large comfortable double occupancy bed comfortable quiet serene,-0.3408,Neutral
73,la heid d'ehan,Belgium,10.0,clean cozy couple good host delicious breakfast able visit nearby ease car also foot,0.8957,Positive
74,Hotel Saint Sauveur by WP Hotels,Belgium,10.0,tiptop,0.0,Neutral
75,B&B Hof Beygaert,Czech Republic,9.6,really accommodation lady place friendly old farm much taste breakfast good although far away rather busy street house quite sleep open window morning enjoy sing,0.8519,Positive
76,Novotel Gent Centrum,United Kingdom,9.0,taxi service order morning could make clear reception area caught great location right middle historical gent close tram go business gent great breakfast dinner restaurant staff friendly helpful prefer business gent,0.9501,Positive
77,B&B Place Jourdan,Czech Republic,10.0,pleasant welcome owner good breakfast,0.8481,Positive
78,Villa Pura Vida,United Kingdom,10.0,nothing everything hospitality,0.0,Neutral
79,AppartHotel Belle Vue,Netherlands,8.3,television cable terrestrial aerial picture un watchable sure many business like keen catch news want relax watch entertainment comfortable clean staff reception extremely helpful get chance use restaurant breakfast good atmosphere bar,0.9765,Positive
80,Le Studio de Christine,Mexico,9.6,location,0.0,Neutral
81,Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,Uganda,6.0,negative side bed extremely soft roll together thin could hear however book may probably expensive usual positive side location convenient easy access door code owner clear communicative,0.6597,Positive
82,Vintage Chalet in Sougne-Remouchamps near Forest,Netherlands,9.2,problem u handy know separate bedroom bed living excellent location lot privacy house lovely view perfect kind host,0.9169,Positive
83,Minimalistic In Premium Location,France,7.9,need wine beer glass well hand location perfect great transport link lovely warm apartment spacious three,0.9571,Positive
84,Marivaux Hotel,Germany,8.8,unique style secret parking make day,0.0,Neutral
85,Hotel Astoria Gent,Belgium,10.0,everything especially home make diner self service eat covid nice breakfast la carte order,0.4215,Neutral
86,Guest house Heysel Laeken Atomium,China,8.3,patchy prone apartment large top floor apartment house bathroom close proximity station well church lady rather quiet although late night happen one night overall apartment offer excellent value would hesitate recommend short stay,0.8555,Positive
87,la heid d'ehan,Belgium,10.0,special little cosy place breakfast excellent want thank host kindness hospitality book start hike along min walk away,0.9042,Positive
88,Hotel Saint Sauveur by WP Hotels,United Kingdom,6.0,hotel parking get told book park public car park away pay per day quiet upset book found bottom long book advance book say parking also sorry true fairly room need refurbishment clean lift actually nice location good,0.7845,Positive
89,B&B Hof Beygaert,Belgium,10.0,super friendly flexible host brand new studio clean spacious huge breakfast,0.9186,Positive
90,Novotel Gent Centrum,Italy,9.0,comfortable good central position clean,0.836,Positive
91,B&B Place Jourdan,Malta,10.0,nothing really although meet personally good communication channel via apartment central close venue clean area quiet,0.6808,Positive
92,Villa Pura Vida,United Kingdom,9.2,accommodation gorgeous straight great spacious garden lovely box hostess gracious warm lovely would definitely stay,0.9771,Positive
93,AppartHotel Belle Vue,Spain,9.2,nice food excellent wine selection restaurant,0.7579,Positive
94,Le Studio de Christine,Belgium,6.0,noisy,-0.1779,Neutral
95,Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,Belgium,10.0,comfortable place specially owner nice day stay,0.7269,Positive
96,Minimalistic In Premium Location,Italy,10.0,cosy apartment well connect city via public owner kind available,0.6705,Positive
97,Marivaux Hotel,Germany,9.0,breakfast location size,0.0,Neutral
98,Hotel Astoria Gent,Belgium,9.0,breakfast good course everything pain bun would good normal size portion prize breakfast bar next pillow fall asleep easily noisy extremely well covid frozen really impressive bath,0.9097,Positive
99,Guest house Heysel Laeken Atomium,France,7.1,poor breakfast comfortable bed,0.0516,Neutral
100,Hotel Saint Sauveur by WP Hotels,Belgium,9.6,location central beach front pool clean cosy nice breakfast staff efficient welcome,0.8834,Positive
101,B&B Hof Beygaert,Switzerland,10.0,single sofa cum bed someone personally king size bed probably best see actually offering service apartment almost fully functional kitchen whole property tastefully furnish,0.6369,Positive
102,Novotel Gent Centrum,Germany,7.5,bit noisy night outside window great location price parking available pet,0.5267,Positive
103,B&B Place Jourdan,Czech Republic,10.0,everything great incredibly cosy place really close quarter cosy accommodation hard get everything friendly human touch still remains clean extremely lovely nothing ever problem everything could possibly need peaceful breakfast always highlight day beautifully many great healthy healthy combine organic locally produce second time place hope come back,0.9888,Positive
104,Villa Pura Vida,Germany,9.6,something special house situate right middle huge garden big cosy example hat bedroom living big desk work great owner still awake breakfast fresh orange juice fresh quality food ist really worth money thank,0.949,Positive
105,AppartHotel Belle Vue,Belgium,7.5,breakfast bit limited include cheap price water take long heat shower maybe top floor rather wasteful helpful responsive staff room quite big apartment nice private parking despite middle city,0.8055,Positive
106,Le Studio de Christine,Belgium,10.0,madam helpful u bring car parking place bring luggage everything apartment city hospitality kindness felt like home apartment city big enough accommodate people two two specious bedroom apartment clean kitchen fully spend pleasant time,0.9271,Positive
107,Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,United Kingdom,10.0,location everything good host nice excellent communication,0.8555,Positive
108,Minimalistic In Premium Location,Austria,9.6,property spacious clean fully close public transport inner town,0.4019,Neutral
109,Marivaux Hotel,Morocco,9.2,need review great place always consider top choice great breakfast fantastic staff,0.9274,Positive
110,Hotel Astoria Gent,Belgium,9.0,nothing easy check nobody reception give via clear clean beautiful bathroom soap new block noise thanks nice dinner ice cream breakfast also good large choice available would love go,0.9493,Positive
111,Guest house Heysel Laeken Atomium,Indonesia,7.1,pay everything front cash little inconvenient would prefer card payment option big comfortable bed beer arrival,0.2006,Neutral
112,Hotel Saint Sauveur by WP Hotels,Belgium,9.6,best everything center town short stroll beach shopping around corner staff professional friendly best breakfast nice din,0.9371,Positive
114,Novotel Gent Centrum,Belgium,9.0,absolutely nothing even though program fell whole day desk manager everything fluid check check wait great person,0.6249,Positive
115,B&B Place Jourdan,Slovakia,9.0,light would prefer amazingly comfortable big bed pleasant atmosphere breakfast thanks music offer everything wall g boil egg ready help really close place,0.9324,Positive
116,Villa Pura Vida,Germany,10.0,amaze host lovely person incredible offer truly stay,0.8807,Positive
117,AppartHotel Belle Vue,Netherlands,8.8,entrance private parking narrow even small car road due massive traffic jam around tire sustain damage car side entrance drive parking examination entrance many scrap side entrance evident sustain damage entrance parking street front possible though free fairly busy street thus assurance car either restaurant good food reasonable staff friendly best accommodate spite language barrier however couple staff speak reasonable enough facilitate communication room clean comfortable,0.8934,Positive
118,Le Studio de Christine,Australia,10.0,central easy parking location helpful easy check thanks,0.8885,Positive
120,Minimalistic In Premium Location,United Kingdom,7.0,bin straight forward picture booklet clear location walk city perfect size one bedroom apartment plenty big ceiling floor light brighten flat wish host could open allow fresh air,0.9432,Positive
121,Marivaux Hotel,Malaysia,9.2,noise level night room street near tram station walk distance grand place convenient room big comfortable,0.743,Positive
122,Hotel Astoria Gent,Belgium,8.0,small cleaning cupboard could see someone didnt clean one small issue lack toilet paper funny receive last could nice another roll side nice place quiet small terrace exactly,0.6049,Positive
123,Guest house Heysel Laeken Atomium,United Kingdom,6.7,despite microwave cutlery use microwave stay face road beware incredibly noisy tram right window round corner delivery entrance away imagine noise get delivery plus course rubbish collection rattle ding ding tram midnight also maybe work well stay host lovely accommodation large high ceiling microwave table eat comfy bed lot nice sofa lounge nicely decorate clean,0.9063,Positive
124,Hotel Saint Sauveur by WP Hotels,France,5.0,international standard everything lobby like passage nowhere bedroom grey invisibility sea close high price little swim pool,0.351,Neutral
126,Novotel Gent Centrum,Puerto Rico,9.0,could hear morning noise street way hard defense ask different sure well amaze location right center shopping less walk tram get back train station close,0.7906,Positive
127,B&B Place Jourdan,Hungary,9.2,although neighborhood great place wee bit far need get around public transport plus host persuade u breakfast save though could son say upstairs apartment put like den good way really little place kitchen great sit even selection good thing location great close well market place chose location,0.9774,Positive
128,Villa Pura Vida,India,10.0,stay felt back home never see service god bless family run place may get,0.2467,Neutral
129,AppartHotel Belle Vue,United Kingdom,7.1,bed pleasantly surround area work class drab,0.4767,Neutral
130,Le Studio de Christine,United Kingdom,10.0,amaze location literally right lovely back street lovely super helpful kind,0.969,Positive
132,Minimalistic In Premium Location,Australia,7.1,unfortunately style impact practical use bathroom communication host great location large apartment stylish,0.4019,Neutral
133,Marivaux Hotel,Portugal,8.0,nothing worth write much critique quiet satisfy breakfast reasonable choice food excellent good coffee make room,0.8374,Positive
134,Hotel Astoria Gent,Belgium,9.0,covid preparedness good frozen dinner good idea get close,0.7003,Positive
135,Guest house Heysel Laeken Atomium,Germany,5.0,room top floor wi fi mattress soft body like hammock noise outside window night sleep refrigerator least kettle thing reception friendly young girl search information,0.7579,Positive
136,Hotel Saint Sauveur by WP Hotels,Ireland,9.5,pool could well excellent service friendly receptionist exceptionally good variety breakfast close everything city e shopping beach pleasant pool,0.9381,Positive
138,Novotel Gent Centrum,Netherlands,8.0,child friendly staff give little happy cozy breakfast good everyone ate something like eat could play area thanks everything,0.946,Positive
139,B&B Place Jourdan,United States,9.6,personable helpful easy check great breakfast plumbing modern easy use cool great selection browse quiet street near park eu area,0.959,Positive
140,Villa Pura Vida,Italy,9.2,super cosy clean,0.765,Positive
141,AppartHotel Belle Vue,Spain,2.0,knew breakfast could make little effort provide kettle two instant coffee morning week every day really old thin plastic glass provide twice shower floor terribly slippery slopy awful neck still last least pay advance first even air,-0.7433,Negative
142,Le Studio de Christine,Belgium,8.3,old house location excellent perfect short stay,0.8126,Positive
144,Minimalistic In Premium Location,Italy,9.6,nice modern flat open space right privacy ideal couple clean position convenient near wonderful museum well connect city really comfortable,0.9538,Positive
145,Marivaux Hotel,United Kingdom,10.0,birthday give complimentary upgrade,0.4404,Neutral
146,Hotel Astoria Gent,France,10.0,really different dinner get suppose covid time set small food court,0.0,Neutral
147,Guest house Heysel Laeken Atomium,Iran,3.0,frequent traveler far bad experience ever book cold late although book include heater owner turn told could change reservation cold also try stop use bathroom say already apart disrespectful behavior owner toilet dirty poor work second floor walk many also another issue get poor signal value money honestly believe awful property never list book clean comfortable,-0.8849,Negative
148,Hotel Saint Sauveur by WP Hotels,Netherlands,3.8,clean mold rust generally need deep cleaning,0.4019,Neutral
150,Novotel Gent Centrum,United Kingdom,9.6,small complaint bed one flat one high something middle ground location perfect everything want see staff brilliant well,0.8271,Positive
151,B&B Place Jourdan,Portugal,10.0,less th visit right,0.0,Neutral
153,AppartHotel Belle Vue,Cuba,5.0,air conditioner work noisy place could sleep well many lady reception de difference staff,0.1027,Neutral
154,Le Studio de Christine,Portugal,10.0,friendly comfortable stay amaze location,0.875,Positive
157,Marivaux Hotel,United Kingdom,7.0,toilet door thin glass without isolation could use toilet reason hope understand mean use toilet outside,0.6319,Positive
158,Hotel Astoria Gent,Belgium,10.0,super friendly good breakfast nice clean amaze bathroom would definitely recommend,0.9726,Positive
159,Guest house Heysel Laeken Atomium,Netherlands,4.2,bath tab super dirty landscape night oversee far away,0.25,Neutral
160,Hotel Saint Sauveur by WP Hotels,Ireland,5.8,hotel breakfast,0.0,Neutral
162,Novotel Gent Centrum,Germany,8.0,little hard pull sofa bed comfortable however adequate fine short stay perfect location heart food abundant immediately surround make rather breakfast option super fun lobby table interactive video game system,0.9509,Positive
163,B&B Place Jourdan,France,10.0,perfectly near really nice friendly helpful breakfast amaze well well new clean bathroom lot space big shower definitively best option,0.9807,Positive
165,AppartHotel Belle Vue,Luxembourg,6.0,entrance parking extremely narrow avoid scratch car personally guidance go straight suitable big normal size clean quiet back property eager help receptionist calmly access main entrance do code keep memorize,0.8235,Positive
168,Marivaux Hotel,United Kingdom,10.0,n fantastic stay even get lovely upgrade expect wish every city good one,0.9186,Positive
169,Hotel Astoria Gent,Germany,8.0,knew really dislike property relatively far away city center want walk take friendly staff good parking clean little bonus surprise bar free,0.9265,Positive
170,Guest house Heysel Laeken Atomium,Germany,9.6,unfortunately parking free parking want spend day city need find another parking space quite expensive friendly owner spacious beautifully decorate bathroom clean free coffee tea good,0.9537,Positive
171,Hotel Saint Sauveur by WP Hotels,Belgium,7.1,bathroom equipment poor quality reception personnel lack qualification breakfast comfort quiet place,-0.4404,Neutral
173,Novotel Gent Centrum,United Kingdom,8.3,breakfast expensive buffet breakfast new year limited,-0.2263,Neutral
174,B&B Place Jourdan,Portugal,8.8,block light people sleep place size bathroom breakfast great,0.296,Neutral
176,AppartHotel Belle Vue,France,6.0,bathroom take get hot water shower call hot oh careful bed hurt bumping bed structure stick mattress big bruise tibia today good breakfast staff nice outside good look parking lot via code even bit far away easy access city saturate term traffic good point,0.891,Positive
179,Marivaux Hotel,United Kingdom,9.0,staff welcome helpful facility location,0.7003,Positive
180,Hotel Astoria Gent,Australia,10.0,staff exceptional make stay comfortable,0.5106,Positive
181,Guest house Heysel Laeken Atomium,Denmark,5.4,table could sit cold nice view,0.4215,Neutral
182,Hotel Saint Sauveur by WP Hotels,Netherlands,9.2,trouble sleep street good location spacious good good breakfast friendly personnel,0.8481,Positive
184,Novotel Gent Centrum,Lithuania,7.5,price breakfast location,0.0,Neutral
185,B&B Place Jourdan,Czech Republic,10.0,perfect location center helpful comfort,0.8402,Positive
187,AppartHotel Belle Vue,United Kingdom,9.6,staff stayed chat try pay breakfast leave set nicely comfy bed location easy get area breakfast buffet plenty,0.6369,Positive
190,Marivaux Hotel,United Kingdom,10.0,modern great staff suite,0.6249,Positive
191,Hotel Astoria Gent,Netherlands,8.0,price enormous location near station interest well friendly staff nice breakfast,0.8779,Positive
192,Guest house Heysel Laeken Atomium,Russia,10.0,great place stay enough space dinner around corner walk distance park gare,0.6249,Positive
193,Hotel Saint Sauveur by WP Hotels,Belgium,1.0,despite publication price range unworthy hotel completely outdated need renovation upon arrival previous abundant covid period bathroom completely worn mold around shower sink tap worn completely calcify literally black dirt renovation work already carry like amateurish thorough renovation laminate simply laid old fit carpet extra cable counter friendliness staff quickly cleaning lady sent spot apparently special product antical unfortunately possession spray would certainly report manager good morning staff turn longer option however apparently rather high reputation come friendliness staff despite multiple positive breakfast also disappointment classic standard breakfast corona proof glass cava guest take pour covid moreover waiter duty speak dutch language din turn either dust food remains previous easily spot first time write review however never negative experience even smoother self respect would notice take action book,0.817,Positive
194,Novotel Gent Centrum,Italy,8.0,think price high even though service face construction town hall result scarce natural light window noise start staff reception inform spa gym show aware would know spent night business trip chosen local partner convenient location city close university public transportation train station clean high quality sleep nice staff,0.7906,Positive
195,B&B Place Jourdan,Sweden,10.0,everything super,0.5994,Positive
197,AppartHotel Belle Vue,Spain,4.2,upon arrival check air work either small refrigerator either reception could give solution use personal network cable connect wall socket thus able towards unbearable heat air work could open balcony throughout night result entry fry night find acceptable book suite upon arrival work main air checked offering web direction first night totally passive react next day understand late excuse solve anything friendly staff face restaurant varied menu elaborate existence park although yes get go door fairly narrow corridor careful,0.923,Positive
199,Marivaux Hotel,Ireland,10.0,well last year book unfortunately last minute make free cancellation upgrade free disappoint good value money excellent location,0.9118,Positive
200,Hotel Astoria Gent,France,10.0,everything excellent thank everybody come back,0.7351,Positive
201,Guest house Heysel Laeken Atomium,United Kingdom,10.0,beautiful friendly,0.7964,Positive
202,Hotel Saint Sauveur by WP Hotels,Belgium,6.0,recently many top shape bathroom door could close handle fall mattress comfortable thin pedestrian zone cannot access directly car difficult unload load car especially small child great location close beach shopping street plenty nearby well friendly attentive staff breakfast good many choose,0.9345,Positive
203,Novotel Gent Centrum,United Kingdom,7.1,tiny small entrance get tight large car hard work quite difficult find drive high street get ideal drive need parking bar quite expensive lovely lovely people right middle,0.8542,Positive
204,B&B Place Jourdan,Spain,10.0,small thing floor lift something common super helpful owner clean comfy bed great location,0.926,Positive
205,AppartHotel Belle Vue,Canada,9.6,receptionist friendly helpful spoke room small modern cozy clean breakfast fad great variety choose good coffee private parking much would stay gladly recommend,0.9661,Positive
207,Marivaux Hotel,United Kingdom,8.0,colour scheme dull brown dark brown grey bedspread would cheer place close city quite large superb bathroom large bath separate shower big desk large comfortable bed,0.8583,Positive
208,Hotel Astoria Gent,United States,10.0,really friendly helpful staff super excellent breakfast lovely set home make make yoghurt good coffee cup everything easy walk train station place,0.9744,Positive
209,Guest house Heysel Laeken Atomium,Finland,4.6,right away manager come say extra come later clock book page kind arrangement change train try get eight want pay extra bus hour late check time first time six still demand extra payment work upstairs work poorly even give small change back location good thing,0.6908,Positive
210,Hotel Saint Sauveur by WP Hotels,Belgium,10.0,,0.0,Neutral
211,Novotel Gent Centrum,Belgium,7.0,need update shower basic would also nice big family g twin old duvet rather thin fantastic location car park,0.7506,Positive
212,B&B Place Jourdan,Slovenia,7.9,quite dusty feel clean sunny day sat bed cloud dust go top narrow steep fine bit inconvenient carry suitcase really like location close cool eat also close eu district great work nice kind breakfast great way well comfy bed,0.9789,Positive
213,AppartHotel Belle Vue,Romania,10.0,excellent breakfast nice,0.7579,Positive
215,Marivaux Hotel,United Kingdom,8.0,could big big bed,0.0,Neutral
216,Hotel Astoria Gent,Singapore,10.0,connection weak could connect corridor although next train track could hardly hear train good soundproof provide complimentary every day coke lemonade water friendly helpful staff best stayed trip,0.9159,Positive
217,Guest house Heysel Laeken Atomium,Mexico,9.6,signal weak reach level location great huge clean well,0.8126,Positive
218,Hotel Saint Sauveur by WP Hotels,Luxembourg,9.6,parking space everything,0.0,Neutral
219,Novotel Gent Centrum,Netherlands,9.0,perfect location city within walk distance event breakfast good great,0.8934,Positive
220,B&B Place Jourdan,Ireland,10.0,great helpful pleasant proprietor good location,0.9201,Positive
221,AppartHotel Belle Vue,United Kingdom,4.6,staff helpful,0.4215,Neutral
222,Marivaux Hotel,United Kingdom,7.0,could little storage space e chest drawer minor repair work bathroom toilet seat kept come loose friendly helpful staff nice restaurant delicious food bar every type beer imaginable,0.8807,Positive
223,Hotel Astoria Gent,United Kingdom,9.6,friendly helpful staff exceptional breakfast outside new low zone easy site parking car friendly also five minute walk main station,0.875,Positive
224,Guest house Heysel Laeken Atomium,Spain,5.8,timing give make adapt last hour pay house directly book accept card also told come back acceptable,0.5423,Positive
225,Hotel Saint Sauveur by WP Hotels,Belgium,6.3,lot outside,0.0,Neutral
226,Novotel Gent Centrum,Germany,9.6,close city center clean comfortable would like come,0.8176,Positive
227,B&B Place Jourdan,United Kingdom,7.9,small kettle make tea would good could difficult excellent breakfast great location close eu,0.8481,Positive
228,AppartHotel Belle Vue,Poland,9.6,problem work fix stay nice quite location clean tidy friendly people run restaurant downstairs delicious food service nice friendly,0.943,Positive
229,Marivaux Hotel,Croatia,8.0,smell bathroom,0.0,Neutral
230,Hotel Astoria Gent,France,10.0,see improvement round good well decorate comfortable spotlessly clean bathroom particular immaculate little kettle tea coffee get especially see gent well situate art museum city manageable half hour walk away car parking pay lot size car finally northern style breakfast excellent fantastic selection cheese sausage different bread delightful stay end soon,0.9771,Positive
231,Guest house Heysel Laeken Atomium,Greece,5.4,like big house use toilet heat cold rainy heat even dry clothes,0.296,Neutral
233,Novotel Gent Centrum,Israel,8.8,bit little u location close lot breakfast great lot small area play,0.7579,Positive
234,B&B Place Jourdan,Slovenia,10.0,thank everything location breakfast lovely atmosphere music perfect staff really friendly definitely stay come back,0.9475,Positive
235,AppartHotel Belle Vue,Luxembourg,9.6,good hi tech private parking chance go restaurant far could see really nice,0.7902,Positive
